target,text,stance,cut,length
开放二胎,【失独父母：近四成有自杀倾向】14年前，独子在留学时去世，西芒成了失独妈妈。“去那个世界和儿子在一起”的想法不断在她脑海闪现。调查显示，近四成的失独父母有自杀倾向。心理专家称，丧偶老人的心理危机期约为18个月，丧子约5年，而失独家庭终生都存在自杀倾向。（北青报）http://t.cn/Rqp3VSq,2,失独 父母 近 四成 自杀 倾向 年前 独子 留学 时 去世 西芒 成 失独 妈妈 世界 儿子 一起 想法 不断 脑海 闪现 调查 显示 近 四成 失独 父母 自杀 倾向 心理专家 称 丧偶 老人 心理 危机 期约 月 丧子 约 年 失独 家庭 终生 存在 自杀 倾向 北青报 httptcnRqpVSq ,153
深圳禁摩限电,#深圳禁摩限电#南山大队禁摩限电整治持续中，严查摩托车，电动车交通各种交通违法，无证驾驶要拘留。,0,深圳 禁摩 限电 南山 大队 禁摩 限电 整治 持续 中 严查 摩托车 电动车 交通 交通 违法 无证 驾驶 拘留 ,58
俄罗斯在叙利亚的反恐行动,果沙特对俄罗斯作战，它的储备资产消耗将提速几何？其股市会如何？里亚尔汇率能维持吗？石油产量决策将怎样调整？其国内权力结构将发生何种变化？……初步思考，个人应该乐意见到这种情况,0,果 沙特 俄罗斯 作战 储备 资产 消耗 提速 几何 股市 会 里亚尔 汇率 维持 石油 产量 决策 调整 国内 权力 结构 发生 何种 变化 初步 思考 个人 应该 乐意 见到 这种 情况 ,96
深圳禁摩限电,深圳一旦挂以安全之名，可以秒杀所有电摩与三轮，事实上电摩与三轮的安全事故又有多少呢？与汽车比，与其它交通工具比，把人口基数算进去，真的很多吗？？所谓专家、执法者，让你换个饭碗，改用以上工具谋生，你当作何想呢？？本人10年前就从骑自行车，电动自行车开始，所以感同此心。,1,深圳 挂 安全 之名 秒杀 电摩 三轮 事实上 电摩 三轮 安全事故 汽车 交通工具 人口基数 算进去 真的 很多 所谓 专家 执法者 换个 饭碗 改用 工具 谋生 当作 何想 年前 骑 自行车 电动 自行车 感同 此心 ,111
俄罗斯在叙利亚的反恐行动,：法国被炸、欧洲难民潮真是自作自受，西方点蜡烛也就罢了，毕竟是同伙，国内还有跟着亮灯的，今夜你是土耳其人吧~,0,法国 炸 欧洲 难民潮 真是 自作自受 西方 点 蜡烛 毕竟 同伙 国内 跟着 亮灯 今夜 土耳其人 ,51
春节放鞭炮,#少放鞭炮让环卫工回家# 每年的大年初一凌晨，当人们进入梦乡时，环卫工人却都要冒着严寒，拿起扫把，清扫”昨夜的疯狂“。不放鞭炮，让他们也过一个温暖的春节。@中国文明网 @人民日报 @央视新闻 @长春发布,1,少 放鞭炮 环卫工 回家 每年 大年初一 凌晨 进入 梦乡 时 环卫工人 严寒 扫把 清扫 昨夜 疯狂 放鞭炮 一个 温暖 春节 中国 文明 网 人民日报 央视 新闻 长春 发布 ,90
春节放鞭炮,今年不放鞭炮了，过一个环保、文明、安全的春节。说实话吧，是我买不起 我在:|东缉虎营,1,今年 放鞭炮 一个 环保 文明 安全 春节 说实话 买不起 东缉虎营 ,35
开放二胎,我来愤世嫉俗一下下啊≧﹏≦ #全面开放二胎# 战争的时候生的多送战场，那叫英雄母亲；开始发展的时候，人口太多经济不好，养不起那么多人所以只能生一个，超生各种罚罚罚！流流流！万一失独更是凄惨；现在老龄化啦，年轻人少啦，可用劳动力少啦，养老压力太大啦，所以又要开始多生，推迟退休啥的,1,我来 愤世嫉俗 一下下 全面 开放 二胎 战争 生 送 战场 英雄 母亲 发展 人口 太 经济 不好 养不起 多人 只能 生 一个 超生 罚罚 罚 流流 流 失独 更是 凄惨 现在 老龄化 年轻人 少 可用 劳动力 少 养老 压力 太大 多生 推迟 退休 ,128
深圳禁摩限电,#深圳法治通城#4月18日，@深圳龙岗交警 布吉中队联合大队铁骑队，在长龙路、吉政路、百鸽路、西环路、粤宝路、八约一街、荣华路、布吉老街等重点路段进行严查，查处违停189宗，路口红绿灯情况巡查32次，停车场监管系统预警信息排查2条，针对傍晚东站拉客现象多，组织禁摩限电专项整治行动，查扣摩托铁,0,深圳 法治 通城 月 日 深圳 龙岗 交警 布吉 中队 联合 大队 铁骑 队 长龙 路吉政路 百鸽 路 西环路 粤宝路 八约 一街 荣华 路布 吉 老街 重点 路段 进行 严查 查处 违停宗 路口 红绿灯 情况 巡查 次 停车场 监管 系统 预警 信息 排查 条 傍晚 东站 拉客 现象 组织 禁摩 限电 专项 整治 行动 查扣 摩托 铁 ,170
深圳禁摩限电,深圳最严“禁摩限电”出现反转 警方最新说法：碰到一种情况不扣   近日，一场被称为史上最严厉的“禁摩限电”整治行动在深圳进行，重点打击在地铁口、公交站等地点非法拉客违法行为，并对严重超标、没有牌照的... |深圳最严“...,2,深圳 严禁 摩 限电 出现 反转 警方 最新 说法 碰到 一种 情况 不扣 近日 一场 称为 史上 严厉 禁摩 限电 整治 行动 深圳 进行 重点 打击 地铁口 公交站 地点 非法 拉客 违法行为 严重 超标 没有 牌照 深圳 最严 ,117
IphoneSE,我钟爱iPhoneSE 深空灰色的设计风格，但是搁现在的我不会去买，毕竟4寸手机尺寸已经out，娱乐度不够。,1,钟爱 iPhoneSE 深空 灰色 设计 风格 搁 现在 不会 买 毕竟 寸 手机 尺寸 已经 out 娱乐 度 不够 ,60
深圳禁摩限电,从长远看，深圳禁摩限电也许没有错。但短时间内一棍子打死，未免太绝情了！,1,从长远看 深圳 禁摩 限电 也许 没有 错 短时间 一棍子打死 未免太 绝情 ,39
IphoneSE,今天还买了台给我妈当生日礼物，西单店员告诉我今天卖得就剩几台16GB玫瑰金的了，唱衰的人都歇歇吧，手机市场整体饱和了，销量是相对的，亚太厂商不好好把心思放在产品上，就知道背地抹黑别人。,0,今天 买 台 妈 生日礼物 西单 店员 告诉 今天 卖得 剩 几台 GB 玫瑰 金 唱 衰 歇歇 手机 市场 整体 饱和 销量 相对 亚太 厂商 好好 心思 放在 产品 知道 背 抹黑 ,93
深圳禁摩限电,自行车下降，但电动车大福上升。坚决支持禁摩限电。。。。 ,0,自行车 下降 电动车 大福 上升 坚决 支持 禁摩 限电 ,29
IphoneSE,日前，有网友曝光疑似苹果4英寸新iPhone包装盒，上面赫然写着iPhoneSE字样，同时16GB也意味着该机容量仍是16GB起步，支持全网通、NFC和GPS，因此该机也会支持苹果Apple Pay移动支付服务。此外，其还表示，iPhoneSE中国首发，颜色为四种，容量只有16GB和64GB。,2,日前 网友 曝光 疑似 苹果 英寸 新 iPhone 包装盒 上面 赫然 写 iPhoneSE 字样 GB 意味着 该机 容量 GB 起步 支持 全 网通 NFC GPS 该机 会 支持 苹果 ApplePay 移动 支付 服务 表示 iPhoneSE 中国 首发 颜色 四种 容量 GB GB ,148
春节放鞭炮,【过春节转财运--放鞭炮地点】放鞭炮是春节喜庆的一个传统习惯。从《易经》风水的角度来说今年癸巳年有利的放鞭炮的地点是正南方、东北方，西北方，还有正西方。这四个方向叫旺方，旺的地方能催动财气，官位、事业、及儿童的学业等.,0,春节 转 财运 放鞭炮 地点 放鞭炮 春节 喜庆 一个 传统 习惯 易经 风水 角度 今年 癸巳 年 有利 放鞭炮 地点 正南方 东北方 西北方 正 西方 四个 方向 旺方旺 地方 催动 财气 官位 事业 儿童 学业 ,109
深圳禁摩限电,深圳加油，要把禁摩限电这步棋走好走稳，第一个吃螃蟹总会有些纠结和困难，但为了人民福祉，大家都很支持，期待全国范围内推广深圳模式！,0,深圳 加油 禁摩 限电 步棋 走 走稳 第一个 吃螃蟹 总会 纠结 困难 人民 福祉 支持 期待 全国 范围 推广 深圳 模式 ,64
深圳禁摩限电,姑苏城外寒山寺，夜班电摩逛江枫。苏州两日游结束了，玩过水，爬过山。终于发现为什么喜欢深圳了，因为有山有水，上海只有水，只剩下一座山，不知道能不能爬了 |苏州·拙政...,2,姑苏 城外 寒山寺 夜班 电摩逛 江枫 苏州 两日游 结束 玩 水 爬 过山 终于 发现 喜欢 深圳 有山有水 上海 水只 剩下 一座 山 知道 不能 爬 苏州 拙政 ,84
IphoneSE,苹果2016春季发布会iPhone SE和6s一样的配置，和5s一样的外观，史上最便宜的iPhone，我这5s是不是可以得瑟冒充一把了。 ,0,苹果 春季 发布会 iPhoneSE s 配置 s 外观 史上 便宜 iPhone s 是不是 得瑟 冒充 一把 ,57
IphoneSE,苹果iPhoneSE虽然看起来可能会比iPhone6s低一个档次，但是在某些配置上并不输iPhone6s。,0,苹果 iPhoneSE 看起来 可能 会 iPhones 低 一个 档次 配置 不输 iPhones ,51
春节放鞭炮,今年春节不放鞭炮了，看新闻上说鞭炮产生的都是有害气体，本来现在动不动就雾霾，我可不想去取经，今年春节过个环保春节。。。。@小饼叔叔何嘉,1,今年春节 放鞭炮 新闻 说 鞭炮 产生 有害 气体 本来 现在 动不动 雾 霾 不想 取经 今年春节 过个 环保 春节 小饼 叔叔 何嘉 ,69
开放二胎,关于取消晚婚假这个事我真的是很无语，首先你开放二胎就要取消晚婚假吗？两者冲突吗？其次，几天的婚假能干嘛？准备和度蜜月哪儿够？而且中国的假期本来就很少了。最后，晚婚已经够造孽了，还要剥夺我那么一点点的好处，真的是造了天大的孽！,1,取消 晚婚 假 事 真的 无语 开放 二胎 取消 晚婚 假 冲突 几天 婚假 干嘛 准备 度蜜月 够 中国 假期 本来 很少 最后 晚婚 已经 够 造孽 剥夺 一点点 好处 真的 造 天大 孽 ,97
深圳禁摩限电,#禁摩限电#你对深圳禁摩限电怎么看？如果石家庄也这样你支持吗？,2,禁摩 限电 深圳 禁摩 限电 石家庄 支持 ,22
开放二胎,今天中午邀请了老同学鹏鹏一家三口来家里吃饭，准备了几个大菜，喝了点酒，头晕鹏鹏和妻子在浙江工作，这个春天回东北老家生二胎来了，真好,0,今天 中午 邀请 老同学 鹏鹏 一家 三口 家里 吃饭 准备 几个 大菜 喝 点 酒 头晕 鹏鹏 妻子 浙江 工作 春天 回 东北 老家 生二胎 真 ,75
开放二胎,建了小卡才有一种正式#开启二胎路#的感觉。 最害怕的不是生孩子，不是怕胖，是打针今天抽了四管血。很没出息的眼里泛泪花了,0,建了 小卡 一种 正式 开启 二胎 路 感觉 害怕 生 孩子 怕 胖 打针 今天 抽 四管 血 没出息 眼里 泛 泪花 ,60
俄罗斯在叙利亚的反恐行动,俄罗斯外交部认为，有必要阻止恐怖分子用恐怖袭击激化叙利亚局势的企图。外交部就叙利亚系列恐怖袭击发表评论称：“相信这种极其恶劣的犯罪活动需要国际社会给予应有的原则性回应“,0,俄罗斯外交部 认为 必要 阻止 恐怖分子 恐怖袭击 激化 叙利亚 局势 企图 外交部 叙利亚 系列 恐怖袭击 发表 评论 称 相信 这种 极其 恶劣 犯罪活动 需要 国际 社会 给予 应有 原则性 回应 ,102
开放二胎,哦！我好想生双胞胎,0,想生 双胞胎 ,7
俄罗斯在叙利亚的反恐行动,叙利亚平民都是“恐怖分子”[doge],1,叙利亚 平民 恐怖分子 doge ,17
春节放鞭炮,今年春节允许放鞭炮的时间长达20多天，看到这条消息很难过，也很气愤：难道还嫌这个城市污染不够严重吗？！为了我们共同生活的家园，为了我们能有一口稍微洁净的空气，请大家自觉不放鞭炮。爱护环境，从我做起！ 我在:|煤仓北路,1,今年春节 允许 放鞭炮 时间 长 达 多天 看到 条 消息 难过 气愤 难道 嫌 城市污染 不够 严重 共同 生活 家园 一口 稍微 洁净 空气 请 自觉 放鞭炮 爱护 环境 从我做起 煤仓 北路 ,99
开放二胎,昨晚梦见自己右手搂着阳阳，左手抱着一个女婴，突然让我有点想生二胎了，但是想到生孩子痛得想自己切腹的感觉，全身又起鸡皮疙瘩。。再让我纠结几年吧，下辈子真不想做女人了。,0,昨晚 梦见 右手 搂 阳阳 左手 抱 一个 女婴 突然 有点 想 生二胎 想到 生 孩子 痛得 想 切腹 感觉 全身 鸡皮疙瘩 纠结 几年 下辈子 真 不想 做 女人 ,84
IphoneSE,iPhone se多大？我简单告诉你，SE也就1块钱那么大 6S就是5块钱那么大，6SP也就是100块钱那么大！怎么样形象不。,2,iPhonese 多大 简单 告诉 SE 块钱 大S 块钱 大S P 块钱 形象 ,41
深圳禁摩限电,刚看了窦骁的纪录片《骑行新西兰》然后再看国内，有点绝望。。。。利弊怎样都无所谓了，但是自由呢？,1,刚看 窦骁 纪录片 骑行 新西兰 国内 有点 绝望 利弊 无所谓 自由 ,36
IphoneSE,昨晚熬夜看了发布会，今天早起又看了看具体的配置。iPhone se 真的好尴尬，性能虽然和6s差不多，但是你1G运存，还能不能还好的做一个小屏旗舰呢。我感觉买se的完全就是情怀，现在我依然认为，iPhone 5s的工业设计与手感最棒没有之一！,1,昨晚 熬夜 发布会 今天 早起 具体 配置 iPhonese 真的 尴尬 性能 s 差不多 G 运存 不能 还好 做 一个 小屏 旗舰 感觉 买 se 完全 情怀 现在 依然 认为 iPhones 工业 设计 手感 最棒 没有 ,114
深圳禁摩限电,怀念大学里有电摩的日子，说要去拍拖然后跑到了深圳湾公园在海边拍了几张照片太冷了就走了,2,怀念 大学 里 电摩 日子 说 拍拖 跑 深圳湾 公园 海边 拍 几张 照片 太冷 走 ,44
深圳禁摩限电,不是禁摩限电吗？东滨路交通压力那么大但是摩托车、电动车照样跑也没人管！@深圳交警,0,禁摩 限电 东滨路 交通 压力 摩托车 电动车 照样 跑 没人管 深圳 交警 ,39
春节放鞭炮,【《在线大搜索》20140126今日互动话题】：雾霾天频现，这个春节你会支持环保不放鞭炮吗？欢迎大家通过我们的短信平台10623456158，发送短信“8+内容”，参与我们的互动，我们将会在下期节目中选取观众留言与大家分享。,2,在线 搜索 今日 互动 话题 雾 霾 天 频现 春节 会 支持 环保 放鞭炮 欢迎 短信 平台 发送 短信内容 参与 互动 将会 下期 节目 中 选取 观众 留言 分享 ,85
深圳禁摩限电,禁摩限电，它们拦抓别人的爱车，卖了再买，开着6万元的车，它们的口号是抓车卖钱，用钱买车。只许自己点灯，不许别人点火。,1,禁摩 限电 拦 抓 爱车 卖 买 开着 万元 车 口号 抓车 卖钱 用钱 买车 只许 点灯 不许 点火 ,52
俄罗斯在叙利亚的反恐行动,普特勒会把俄罗斯带向地狱,1,普特 勒会 俄罗斯 带 地狱 ,15
春节放鞭炮,【今年过年，您放鞭炮了吗？】“爆竹声中一岁除，春风送暖入屠苏。”鞭炮声响起，空气的污浊味也随之浓烈起来。除夕夜，“南京环保”发布微博呼吁大家尽量少放或不放烟花爆竹，这个春节里，您放鞭炮了吗？我们究竟还要不要放鞭炮呢？您怎么看？也欢迎在评论中告诉我们您的想法。http://t.cn/zYIUZpT,2,今年过年 放鞭炮 爆竹声 中 一岁 春风 送暖 入 屠苏 鞭炮声 响起 空气 污浊 味 随之 浓烈 起来 除夕夜 南京 环保 发布 微博 呼吁 尽量少 放 不放 烟花爆竹 春节 里 放鞭炮 究竟 不要 放鞭炮 欢迎 评论 中 告诉 想法 httptcnzYIUZpT ,134
俄罗斯在叙利亚的反恐行动,要说俄罗斯炸IS没有一点私心，那是不可能的；要说土耳其跟IS没有一点关系，那也是不可能的。国际关系就是这样，你中有我我中有你，不讲道义只讲利益。,1,要说 俄罗斯 炸 IS 没有 一点 私心 可能 要说 土耳其 IS 没有 一点 关系 可能 国际 关系 你中有我 我中有你 讲 道义 讲 利益 ,72
俄罗斯在叙利亚的反恐行动,应该如此，要中俄美和世界的所有人民联合起来,0,应该 中 俄美 世界 人民 联合 起来 ,20
开放二胎,#全面二胎#一想到从此以后，我们可以一起登山，一起滑雪，一起跑步，一起分享魔力，就开心的不得了！,0,全面 二胎 想到 从此以后 一起 登山 一起 滑雪 一起 跑步 一起 分享 魔力 开心 不得了 ,48
俄罗斯在叙利亚的反恐行动,太可怕了 普大帝要生气了,0,太 可怕 普 大帝 生气 ,13
俄罗斯在叙利亚的反恐行动,明明是西方造的孽，真是颠倒黑白,0,明明 西方 造 孽 真是 颠倒黑白 ,18
深圳禁摩限电,每次看到电动车就下意识的刹车，没错，我是女司机，坚决支持支持禁摩禁电,0,每次 看到 电动车 下意识 刹车 没错 女司机 坚决 支持 支持 禁摩禁 电 ,39
俄罗斯在叙利亚的反恐行动,支持审慎但积极地参与。1)军队30年未战，急需实战锻炼并培养骨干，否则全是尸位素餐的贪污将领；2)这是最直接的彰显军力和国力但又没什么副作用的方式，比军演和阅兵强百倍；3）中国不可能也不应该在所有场合都与美国作对，抓住一次机遇与美国合作，对于利益交换和政治互信有好处；4)打击东突,0,支持 审慎 积极 参与 军队 年 未战 急需 实战 锻炼 培养 骨干 全是 尸位素餐 贪污 将领 直接 彰显 军力 国力 没什么 副作用 方式 比军演 阅兵 强 百倍 中国 可能 应该 场合 美国 作对 抓住 一次 机遇 美国 合作 利益 交换 政治 互信 好处 打击 东突 ,138
开放二胎,#拜托了妈妈# #关凌怀二胎# 天津卫视正在做《拜托了妈妈》北京摄制，邀请妈妈们免费参加节目~~！有没有想去的妈妈们呢~？,2,拜托 妈妈 关凌怀 二胎 天津 卫视 正在 做 拜托 妈妈 北京 摄制 邀请 妈妈 免费 参加 节目 有没有 想 妈妈 ,60
深圳禁摩限电,我给领导们一点建议：一、我建议厅级以上高干必须通过司法考试，因为不懂法就当父母官会导致做出错误的决策，例如：深圳禁摩限电明显违法《宪法》；二、建议科级以上干部必须司法考试分数在330以上，不学法如何领导地方政府；三、建议国家对于违反法律规定的地方政策、部门规章等进行废除；四、建,1,领导 一点 建议 建议 厅级 高干 必须 司法考试 懂法 父母官 会 导致 做出 错误 决策 深圳 禁摩 限电 明显 违法 宪法 二 建议 科级 干部 必须 司法 考试分数 学法 领导 地方 政府 三 建议 国家 违反 法律 规定 地方 政策 部门规章 进行 废除 四建 ,136
开放二胎,发表了博文《姚晨高调宣布怀二胎与凌潇肃离婚真相残酷》4月24日，姚晨在出席电影《梦想合伙人》发布会时，自曝已经怀上第二胎，预产期预计在11月份，引发网友热议。同日，其前夫凌潇肃出席电视剧发布会，虽然没|姚晨高调宣...,2,发表 博文 姚晨 高调 宣布 怀 二胎 凌潇肃 离婚 真相 残酷 月 日 姚晨 出席 电影 梦想 合伙人 发布会 时自 曝 已经 怀上 第二胎 预产期 预计 月份 引发 网友 热议 同日 前夫 凌潇肃 出席 电视剧 发布会 没 姚晨 高调 宣 ,122
春节放鞭炮,传统该不该坚持？春节放鞭炮就是我们的传统！放鞭炮是每年崩瞎了几个眼珠子，甚至崩死了人，而且污染空气，但是鞭炮就是我们节日气氛一个很重要的组成部分！你不喜欢可以不放，也没人要求人人放，家家放。,0,传统 该不该 坚持 春节 放鞭炮 传统 放鞭炮 每年 崩 瞎 几个 眼珠子 崩死 污染空气 鞭炮 节日 气氛 一个 重要 组成部分 喜欢 不放 没人 要求 人人 放 家家 放 ,88
深圳禁摩限电,禁摩限电 不是很好嘛，干吗反对。 ,0,禁摩 限电 干吗 反对 ,12
俄罗斯在叙利亚的反恐行动,政治嘛，否认的就是真的。普京撤军就是逼巴沙尔妥协。,1,政治 否认 真的 普京 撤军 逼 巴沙尔 妥协 ,24
IphoneSE,京东已经出现了各种预约，买买买的人比比皆是。,0,京东 已经 出现 预约 买买 买 比比皆是 ,22
IphoneSE,IPhone SE真是小屏手机爱好者的救星，幸好还没买Z5P充值信仰，5S终于可以换掉了。,0,IPhoneSE 真是 小屏 手机 爱好者 救星 幸好 没 买 ZP 充值 信仰 S 终于 换掉 ,49
开放二胎,又是一个催生的，生为婆婆也是个过来人，不造生小孩有多痛苦吗？耽误工作先不说，光是怀孕有多痛苦难道不造吗？！真不造国家开放二胎政策害苦了多少妇女…,1,一个 催生 生为 婆婆 过来人 不造 生小孩 痛苦 耽误 工作 先不说 怀孕 痛苦 难道 不造 真不造 国家 开放 二胎 政策 害苦 妇女 ,70
IphoneSE,大小方便携带，屏幕尺寸对我来说也够用，反正主要不是用来看视频的。而且我不太喜欢6以后的圆弧屏幕设计。个人觉得IOS系统比安卓好用。后置1200W像素，能拍4K视频，关键是A9芯片 2G内存，这几点吸引我。,0,大小 方便 携带 屏幕 尺寸 够用 反正 主要 来看 视频 太 喜欢 以后 圆弧 屏幕 设计 个人 觉得 IOS 系统 比安卓好 后置 W 像素 拍 K 视频 关键 A 芯片 G 内存 几点 吸引 ,99
IphoneSE,天辣，我的苹果se也是前天一下就被偷了，又用回了国产安卓机。我才用了十八天，发现手机没了的那一刻，觉得天都塌了，18天，太气了！,2,天辣 苹果 se 前天 一下 偷 回 国产 安卓机 十八天 发现 手机 没 那一刻 觉得 天 塌 天太气 ,53
深圳禁摩限电,#法律博客#【壁立千仞:治疗城市病急不得】“禁摩限电”这类治疗城市病的事情还会出现。从一次一次引发的公众关注的情形来看，地方政府开药治病时一定要不急不躁，依法考虑周全，突出理性文明，积极回应社会关切，不断提升服务水平。如此，治理能力和治理水平才会上台阶、上档次。http://t.cn/RqJFVuZ,2,法律 博客 壁立千仞 治疗 城市 病急 禁摩 限电 类 治疗 城市 病 事情 还会 出现 一次 一次 引发 公众 关注 情形 来看 地方 政府 开药 治病 时 一定 急 不躁 依法 考虑 周全 突出 理性 文明 积极 回应 社会 关切 不断 提升 服务水平 治理 能力 治理 水平 会上 台阶 上档次 httptcnRqJFVuZ ,166
IphoneSE,iPhone6丢了，换了iPhone SE，之前手机里的照片怎么能找回来啊：（，开了一下照片流同步，结果就同步了几张在摩洛哥的照片，其他都没了呀,2,iPhone 丢 换 iPhoneSE 之前 手机 里 照片 找 回来 开 一下 照片 流 同步 同步 几张 摩洛哥 照片 没 ,64
IphoneSE,SE很赞，4S是最经典的一部手机，5S是苹果做得最好看的一部手机。SE结合了5S好看的外观和6S更优秀的配置，是一次很不错的升级。,0,SE 很赞 S 经典 一部 手机 S 苹果 做 好看 一部 手机 SE 结合 S 好看 外观 S 更 优秀 配置 一次 不错 升级 ,66
开放二胎,国家开放二胎应该察觉到同性恋越来越多，异性恋反而越来越少了！都是真爱,2,国家 开放 二胎 应该 察觉到 同性恋 越来越 异性恋 越来越少 真爱 ,36
春节放鞭炮,大大地赞扬慈溪市精神文明建设委员会办公室，慈溪市环保局，慈航公益服务中心的实际行动：主办＂拒绝雾霾，慈溪万人签名承诺新春佳节不燃烟火爆竹＂这行动提倡得好，使百姓既省钱又安宁。真希望上海巿区过春节也＂不放鞭炮＂让我们过一个祥和，安全，愉快，健康的绿色环保＂淸新年＂。,1,大大 赞扬 慈溪市 精神文明 建设 委员会 办公室 慈溪市 环保局 慈航 公益 服务中心 实际行动 主办 拒绝 雾 霾 慈溪 万人 签名 承诺 新春佳节 不燃 烟火 爆竹 行动 提倡 好使 百姓 省钱 安宁 真 希望 上海 巿 区 春节 放鞭炮 一个 祥和 安全 愉快 健康 绿色 环保 淸 新年 ,149
春节放鞭炮,#春节年味渐淡漠 小城信阳存古风#尽管不少大都市年味渐淡，在小城信阳乃至县区、乡村，仍存古风。欢度春节，不仅是对自己一年辛劳的嘉许，更是寻求合家团聚，享受亲情的时刻。祭祖、放鞭炮、团圆饭是最传统的项目，包饺子吃贡面是最期待的美食，你闻到，这股年味了吗http://t.cn/8Fqz16b,0,春节 年味渐 淡漠 小城 信阳 存 古风 不少 大都市 年味渐 淡 小城 信阳 县区 乡村 仍存 古风 欢度春节 一年 辛劳 嘉许 更是 寻求 合家 团聚 享受 亲情 时刻 祭祖 放鞭炮 团圆饭 传统 项目 包 饺子 吃 贡面 期待 美食 闻到 这股 年 味 httptcnFqzb ,142
俄罗斯在叙利亚的反恐行动,突厥首领公然撑恐，怒击罗刹铁鸟，世界乌云密布。自被唐驱逐西游，祸害及至东欧。死心不息帝国梦，屡犯我西域，纵恐乱华。正义之剑要重拾，斩此魔鬼重生。,2,突厥 首领 公然 撑 恐怒击 罗刹 铁鸟 世界 乌云密布 唐 驱逐 西游 祸害 东欧 死心 不息 帝国 梦 屡犯 西域 恐乱华 正义 之剑要 重拾 斩此 魔鬼 重生 ,83
深圳禁摩限电,深圳禁摩限电，究竟想干什么？封杀的不是电，摩而是民心！禁摩限电没有说出的半句话：把穷人从城市里清理出去 http://t.cn/Rq5Lbud来自凤凰新闻,1,深圳 禁摩 限电 究竟 想干什么 封杀 电摩 民心 禁摩 限电 没有 说出 半句话 穷人 城市 里 清理 出去 httptcnRqLbud 凤凰 新闻 ,76
IphoneSE,让我这种喜欢灰色的怎么买！喜欢4英寸，但是这外观额。。。399美元好便宜。大家会买吗？,2,这种 喜欢 灰色 买 喜欢 英寸 外观 额 美元 便宜 会 买 ,32
IphoneSE,如此暴力还有那么多傻子买，贾总赶紧消灭它,1,暴力 傻子 买 贾 总 赶紧 消灭 ,18
俄罗斯在叙利亚的反恐行动, 得出的客观规律，有一种情况，先侵略战争，后恐怖攻击他国人。俄罗斯先轰炸伊斯兰国，后俄罗斯飞机被轰炸。,1,得出 客观规律 一种 情况 先 侵略战争 恐怖 攻击 国人 俄罗斯 先 轰炸 伊斯兰 国后 俄罗斯 飞机 轰炸 ,56
IphoneSE,新推出的iPhone SE遭遇“蓝牙门”，销量不佳。,2,新 推出 iPhoneSE 遭遇 蓝牙 门 销量 不佳 ,28
深圳禁摩限电,支持深圳禁摩限电！ 妈的。。。电动车恐怖死闯红灯 随便变道,0,支持 深圳 禁摩 限电 妈 电动车 恐怖 死 闯红灯 随便 变道 ,33
IphoneSE,上个月28号在官网订的iphone SE ，昨天到的货足足等了半个多月，今天就变成这样了[怒][怒]！我现在要怎么办？！请给我一个合理的解释！！,1,上个月 号 官 网订 iphoneSE 昨天 货 足足 半个 多月 今天 变成 怒 怒 现在 请 一个 合理 解释 ,58
深圳禁摩限电,东莞和深圳的差距：一份肠粉，东莞3块钱，深圳千4块钱（原关外）；一条路上，东莞除了机动车，看不到摩托车（包括电摩），深圳除了汽车、三轮摩托、二轮摩托、电摩、自行车，还有扭扭车，滑板车，只要是车，都在深圳路上跑。还有一种10个轮子的，旱冰鞋，穿在脚上，同样上路。,2,东莞 深圳 差距 一份 肠粉 东莞 块钱 深圳 千块 钱原 关外 一条 路上 东莞 机动车 看不到 摩托车 包括 电摩 深圳 汽车 三轮 摩托 二轮 摩托 电摩 自行车 扭扭 车 滑板车 车 深圳 路上 跑 一种 轮子 旱冰鞋 穿 脚 同样 上路 ,124
俄罗斯在叙利亚的反恐行动,第二非埃尔多安莫属！只有他有魄力叫板第一！,2,第二 非埃 尔多 安莫属 魄力 叫板 第一 ,22
开放二胎,#爱的治愈#很纠结，到底要不要二胎？这么多人催着，我却被越催越怕。老人年龄大，不想让她们费心再去照顾孩子。自己年龄大，作为高龄产妇生二胎的风险太大，万一孩子有个啥问题，悔恨一生。现在的自己正是上有老下有小都需要去照顾的时候，每天忙不完的家务，精力真不够。不要二胎吧，人生太漫长，不知,0,爱 治愈 纠结 到底 不要 二胎 多人 催 越 催越 怕 老人 年龄 不想 费心 照顾 孩子 年龄 高龄产妇 生二胎 风险 太 孩子 有个 问题 悔恨 一生 现在 上有老下有小 需要 照顾 每天 忙 完 家务 精力 真 不够 不要 二胎 人生 太 漫长 不知 ,130
俄罗斯在叙利亚的反恐行动,【观察 普京下令俄军15日起撤离叙利亚】俄罗斯总统普京14日颁布总统令，从莫斯科时间15日起，俄罗斯军队从叙利亚撤出。普京强调，因为指定打击恐怖组织任务已完成。叙利亚总统巴沙尔，向俄方协助反恐表示感谢。叙利亚反对派对撤军表示欢迎，认为对和谈有一定的推动力。,0,观察 普京 下令 俄军 日起 撤离 叙利亚 俄罗斯 总统 普京 日 颁布 总统令 莫斯科 时间 日起 俄罗斯 军队 叙利亚 撤出 普京 强调 指定 打击 恐怖组织 任务 完成 叙利亚 总统 巴沙尔 俄方 协助 反恐 表示感谢 叙利亚 反对派 撤军 表示 欢迎 认为 和谈 一定 推动力 ,143
